sessionID,h_score
42CD35oM62njRPHvE,100.0
QHSgnAFmmQ7XTiJw9,100.0
jPCiuKagYhPy6HKvk,100.0
zKZgYxSGDSLh3fitD,100.0
6gp59TRbiDA2Pve2j,100.0
66sYvQPiZGiet2LiM,100.0
zRynNEHtvTPk72Hma,80.0
vQTP8CDnqCtRbMHdf,80.0
2rfAP7eLFYLBbDWLo,80.0
AW3waxMm44pxjcMKf,100.0
hXhzPzurEnfNwebj5,100.0
Xosu5kubSqe5ZZNXs,100.0
cmcFnBiFN6oHwsovK,100.0
C2AQqMdhPrbeZNmYW,100.0
Z227htJubmEbY5itM,80.0
C3ksxWcr2fGKbDsTi,80.0
f7ia5tMLj9bn7ziMp,100.0
BPA7bnHCQ4aAp5DXT,80.0
D67KKuZctNowb9zqZ,100.0
Caa4Zw9gTLiTdaKqK,100.0
8nw39HZGHPYPfdjE9,100.0
oZJ82M8NaMCn8S2tT,100.0
d3xLTKdqN7p8nZMuB,100.0
xs8eZE2fFkdkF66xf,100.0
n7uyYXDcQu4JRiqSB,100.0
HJSWp8MmRiao8BfcD,100.0
v2LnJ6jpbYGLTWnQx,100.0
vSNWiiQj7bLNxZY8a,100.0
oJFjFS2EH3aJpNhsn,100.0
XvwBJFvfeNKiD92aw,100.0
cqttzmcZGemFWDz4J,100.0
iCMePtmHdWBrcyhix,80.0
jJ9uTY6tA3aWtfvmo,100.0
DKtog9CELYatTN2MX,100.0
qWHywFMov4QLnxZBW,100.0
qadqqSubD4XyKGGSC,80.0
pntmwEBR4QXDomQBB,100.0
zPu4KT67a68LfKi3K,100.0
ZYTwSSztbupBHeRFM,100.0
APB6ZLwHTa4mwcS6A,100.0
goMFjmxxrw7R3TLrr,100.0
f2y8uWpjPrJyQ6CMo,100.0
5oMPB6Wf4pcugwX5c,100.0
zD3jBpoap4DBNwZeo,80.0
6KWfM3QQxz57dcD9w,100.0
fMTbnt4B3LaPvLTBk,100.0
vXP7LfyNQnhhwbJ6o,100.0
KkxbtL3MSfD3dbSF5,80.0
ReK4pZ2AKM5kn48TB,100.0
b958Pdx8k5sE5zRqb,80.0
n6zh6avALaFvS9pYn,100.0
TkSpmZfa3bLWNkFmq,80.0
EC7QgxXDrhCaYu7Cq,100.0
n8dbvuGiLZHi7bywq,100.0
jBEMqx94KkBMBsy2J,80.0
zdQwXaqrbXxSdFoun,100.0
Qi9BLecK2Kezv4tpq,100.0
w8osgtpQdWYBmM76B,80.0
foA43rAXbkckJQ8ai,100.0
ndaWuHLhTPR9bLRQ4,100.0
yWeuQbBu5S6CRZk3W,100.0
aEgNDbC6KsQh7PnA2,100.0
ngx4BvQTEbcrNjrfv,100.0
ib5hiTLb5JR5oNPYA,100.0
Y5GwmHpnDs2LYHmJC,100.0
26KQ75MdK3PqrLZeQ,100.0
qtDq7ET7gi4BtRLJv,80.0
qJRi3QRSaigqZ8HHM,100.0
e2Zw9y2rPuQNxbpcW,80.0
Q9MCvoS9SYFuiZzbs,100.0
dNRNPMfCwSNQ4MXPT,100.0
nfk3DvRPrXjHF8EoA,100.0
SPTwwW4ugRYCxMgPi,100.0
gCSB5guuDkjo6GZKT,80.0
XZrw8568jJ5xQ4apv,80.0
ST85rpNakhFER2FRC,80.0
Np7crcLRJgNMvuxNx,100.0
mhyvWzTmrz3y8WMds,100.0
JgEM3c9QKaL3rPQvQ,100.0
EJKYi5Hhqb5sTmPa4,100.0
DbYanSGQNW8tBp8G5,100.0
dFdtjBNJrMBhiyTyn,100.0
JThAP6D3mbpZY3Aem,100.0
fEbz7Jri3hiyT2EWE,100.0
bDnJXamZMsPnxDWc4,100.0
ZQpQzfNCJ4qemsXw8,80.0
jxTjyzgzcy5SqLZnM,80.0
3ngfuhMpDCpuGFEMx,100.0
v24DYouu3t29fCsrk,100.0
P6FfJaBQcoMBbbRr6,100.0
jXcHTH2LhDCpcr2y3,100.0
nYsLsPbpXzkwvHPE9,100.0
m8Ccz3bSHWSdebeE7,100.0
AvvB8he2Sy8nk7Bsc,100.0
2Yt7RHrFH9G4fYFg9,100.0
izrkEHREoKjqKPN5y,100.0
8a7oNsHnsHarmsER7,100.0
gx96ofLoJc5wTpQXj,80.0
u8e3AWFara3pHj4bT,100.0
NFBysBhECRjoNvhjp,100.0
bCNaKvxcmezyX5jAk,80.0
z8dhpRZwsxEWsHCau,80.0
Tr5ghTakPzgnjC4zC,100.0
gzR7DhFRp4zAaYRKd,100.0
J4tySBpK5oqMy2hPm,100.0
KKPJ7AZR5mrwrD3jr,80.0
p6kB2rJh5vDfYpdir,100.0
JaHZ6oK44s4RmGW7d,100.0
Cy8JABRYeMT5JXh7K,80.0
SEE45AzF3Bok7obgZ,100.0
uPaCwhwCKDkhx3wuT,80.0
k5kLudWH3yTxHHPzy,100.0
ztbmiqKmCPPC6m267,80.0
2Y4nmeBwqqXkgnk6n,100.0
bcpv9DoTYa4bX7q7P,100.0
4FYc39H9NrCatdXCr,100.0
ZhLBeTiJri2iWkt9F,100.0
sHkE5whfuHQPjxFDC,100.0
2hF7wfDmHhXrSMyhj,100.0
XHhiDrLQebvM4AmZE,80.0
